Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,UDI
L52180,L,303.7,312.8,1832.0,23.6,35.0,0,0.0,0.0,0.0,0.0,0.0,
M19861,M,303.6,312.7,2174.0,17.6,37.0,0,0.0,0.0,0.0,0.0,0.0,
L52182,L,303.7,312.8,1627.0,31.7,40.0,0,0.0,0.0,0.0,0.0,0.0,
L52183,L,303.7,312.8,1437.0,51.3,42.0,0,0.0,0.0,0.0,0.0,0.0,
L52184,L,303.7,312.8,1364.0,46.3,44.0,0,0.0,0.0,0.0,0.0,0.0,
M19865,M,303.7,312.9,1444.0,52.7,46.0,0,0.0,0.0,0.0,0.0,0.0,
M19866,M,303.7,312.8,1366.0,47.3,49.0,0,0.0,0.0,0.0,0.0,0.0,
L52187,L,303.8,312.9,1442.0,48.3,52.0,0,0.0,0.0,0.0,0.0,0.0,
H34422,H,303.7,312.8,1488.0,42.8,54.0,0,0.0,0.0,0.0,0.0,0.0,
L52189,L,303.7,312.8,1523.0,40.7,59.0,0,0.0,0.0,0.0,0.0,0.0,
L52190,L,303.7,312.8,1543.0,38.3,61.0,0,0.0,0.0,0.0,0.0,0.0,
M19871,M,303.7,312.8,1634.0,33.8,63.0,0,0.0,0.0,0.0,0.0,0.0,
M19872,M,303.8,312.9,1815.0,27.8,66.0,0,0.0,0.0,0.0,0.0,0.0,
M19873,M,303.8,312.9,1594.0,35.2,69.0,0,0.0,0.0,0.0,0.0,0.0,
L52194,L,303.8,313.0,1452.0,38.6,72.0,0,0.0,0.0,0.0,0.0,0.0,
L52195,L,303.9,313.0,1759.0,28.4,74.0,0,0.0,0.0,0.0,0.0,0.0,
L52196,L,303.9,313.0,1408.0,47.5,76.0,0,0.0,0.0,0.0,0.0,0.0,
L52197,L,303.9,313.0,1483.0,45.0,78.0,0,0.0,0.0,0.0,0.0,0.0,
M19878,M,303.9,313.0,1620.0,36.6,80.0,0,0.0,0.0,0.0,0.0,0.0,
M19879,M,304.0,313.1,1466.0,39.5,83.0,0,0.0,0.0,0.0,0.0,0.0,
L52200,L,304.1,313.1,1556.0,36.3,86.0,0,0.0,0.0,0.0,0.0,0.0,
L52201,L,304.0,313.0,1350.0,61.1,88.0,0,0.0,0.0,0.0,0.0,0.0,
L52202,L,304.0,313.1,1404.0,47.1,90.0,0,0.0,0.0,0.0,0.0,0.0,
M19883,M,304.0,313.0,1575.0,34.5,92.0,0,0.0,0.0,0.0,0.0,0.0,
L52204,L,303.9,313.1,1639.0,29.0,95.0,0,0.0,0.0,0.0,0.0,0.0,
M19885,M,303.9,313.1,1473.0,42.8,97.0,0,0.0,0.0,0.0,0.0,0.0,
L52206,L,303.9,313.2,1481.0,40.0,100.0,0,0.0,0.0,0.0,0.0,0.0,
L52207,L,304.0,313.3,1294.0,54.6,102.0,0,0.0,0.0,0.0,0.0,0.0,
M19888,M,303.9,313.2,1630.0,29.3,104.0,0,0.0,0.0,0.0,0.0,0.0,
M19889,M,303.9,313.2,1624.0,39.8,107.0,0,0.0,0.0,0.0,0.0,0.0,
M19890,M,303.9,313.1,1437.0,48.3,110.0,0,0.0,0.0,0.0,0.0,0.0,
M19891,M,303.8,313.0,1514.0,45.0,113.0,0,0.0,0.0,0.0,0.0,0.0,
M19892,M,304.0,313.1,1694.0,31.4,116.0,0,0.0,0.0,0.0,0.0,0.0,
L52213,L,304.0,313.1,1564.0,50.9,119.0,0,0.0,0.0,0.0,0.0,0.0,
M19894,M,303.9,313.1,1514.0,41.1,121.0,0,0.0,0.0,0.0,0.0,0.0,
M19895,M,304.0,313.2,1500.0,40.6,124.0,0,0.0,0.0,0.0,0.0,0.0,
L52216,L,304.0,313.2,1615.0,37.8,127.0,0,0.0,0.0,0.0,0.0,0.0,
M19897,M,304.1,313.2,1586.0,41.1,129.0,0,0.0,0.0,0.0,0.0,0.0,
L52218,L,304.1,313.3,1732.0,28.5,132.0,0,0.0,0.0,0.0,0.0,0.0,
H34453,H,304.1,313.3,1689.0,32.5,134.0,0,0.0,0.0,0.0,0.0,0.0,
H34454,H,304.1,313.2,1586.0,34.6,139.0,0,0.0,0.0,0.0,0.0,0.0,
L52221,L,304.0,313.2,1314.0,47.1,144.0,0,0.0,0.0,0.0,0.0,0.0,
L52222,L,304.1,313.2,1569.0,35.8,146.0,0,0.0,0.0,0.0,0.0,0.0,
L52223,L,304.1,313.2,1468.0,39.4,148.0,0,0.0,0.0,0.0,0.0,0.0,
L52224,L,304.1,313.2,1412.0,47.5,150.0,0,0.0,0.0,0.0,0.0,0.0,
M19905,M,304.1,313.2,1510.0,46.9,152.0,0,0.0,0.0,0.0,0.0,0.0,
M19906,M,304.1,313.2,1410.0,42.4,155.0,0,0.0,0.0,0.0,0.0,0.0,
M19907,M,304.1,313.3,1680.0,29.3,158.0,0,0.0,0.0,0.0,0.0,0.0,
H34462,H,304.0,313.2,1271.0,68.6,161.0,1,0.0,0.0,1.0,0.0,0.0,
H34463,H,304.0,313.1,1472.0,45.5,166.0,0,0.0,0.0,0.0,0.0,0.0,
H34464,H,304.0,313.0,1701.0,30.4,171.0,0,0.0,0.0,0.0,0.0,0.0,
L52231,L,303.9,313.0,1480.0,39.9,176.0,0,0.0,0.0,0.0,0.0,0.0,
L52232,L,303.9,313.0,1433.0,48.4,178.0,0,0.0,0.0,0.0,0.0,0.0,
L52233,L,303.8,312.9,1514.0,34.3,180.0,0,0.0,0.0,0.0,0.0,0.0,
L52234,L,303.8,312.9,1619.0,35.7,182.0,0,0.0,0.0,0.0,0.0,0.0,
H34469,H,303.8,312.9,1378.0,45.6,184.0,0,0.0,0.0,0.0,0.0,0.0,
M19916,M,303.9,312.9,1430.0,53.5,189.0,0,0.0,0.0,0.0,0.0,0.0,
L52237,L,303.8,312.9,1367.0,49.9,192.0,0,0.0,0.0,0.0,0.0,0.0,
L52238,L,303.9,312.9,1526.0,42.5,194.0,0,0.0,0.0,0.0,0.0,0.0,
L52239,L,303.9,312.8,1419.0,47.9,196.0,0,0.0,0.0,0.0,0.0,0.0,
L52240,L,304.0,312.8,1542.0,42.7,198.0,0,0.0,0.0,0.0,0.0,0.0,
L52241,L,304.0,312.9,1363.0,62.5,200.0,1,0.0,0.0,0.0,1.0,0.0,
L52242,L,304.0,312.9,1313.0,53.9,202.0,0,0.0,0.0,0.0,0.0,0.0,
H34477,H,304.0,312.9,1495.0,46.6,0.0,0,0.0,0.0,0.0,0.0,0.0,
L52244,L,304.0,313.0,1407.0,42.1,5.0,0,0.0,0.0,0.0,0.0,0.0,
L52245,L,304.1,313.0,1566.0,37.2,7.0,0,0.0,0.0,0.0,0.0,0.0,
L52246,L,304.1,313.1,1550.0,30.9,9.0,0,0.0,0.0,0.0,0.0,0.0,
M19927,M,304.2,313.2,1396.0,50.5,11.0,0,0.0,0.0,0.0,0.0,0.0,
M19928,M,304.3,313.3,1540.0,39.0,14.0,0,0.0,0.0,0.0,0.0,0.0,
M19929,M,304.2,313.2,1380.0,48.7,17.0,0,0.0,0.0,0.0,0.0,0.0,
M19930,M,304.2,313.1,1608.0,31.1,20.0,0,0.0,0.0,0.0,0.0,0.0,
H34485,H,304.2,313.0,1442.0,40.9,23.0,0,0.0,0.0,0.0,0.0,0.0,
L52252,L,304.1,313.0,1408.0,45.3,28.0,0,0.0,0.0,0.0,0.0,0.0,
M19933,M,304.0,313.0,1454.0,46.8,30.0,0,0.0,0.0,0.0,0.0,0.0,
L52254,L,304.1,313.1,1666.0,34.6,33.0,0,0.0,0.0,0.0,0.0,0.0,
L52255,L,304.1,313.2,1366.0,46.6,35.0,0,0.0,0.0,0.0,0.0,0.0,
L52256,L,304.2,313.2,1464.0,44.9,37.0,0,0.0,0.0,0.0,0.0,0.0,
L52257,L,304.3,313.3,1775.0,24.9,39.0,0,0.0,0.0,0.0,0.0,0.0,
M19938,M,304.3,313.4,1482.0,43.8,41.0,0,0.0,0.0,0.0,0.0,0.0,
M19939,M,304.2,313.4,1411.0,54.8,44.0,0,0.0,0.0,0.0,0.0,0.0,
L52260,L,304.2,313.3,1410.0,51.6,47.0,0,0.0,0.0,0.0,0.0,0.0,
M19941,M,304.1,313.3,1494.0,39.0,49.0,0,0.0,0.0,0.0,0.0,0.0,
H34496,H,304.1,313.2,1590.0,43.4,52.0,0,0.0,0.0,0.0,0.0,0.0,
L52263,L,304.1,313.1,1327.0,54.1,57.0,0,0.0,0.0,0.0,0.0,0.0,
L52264,L,304.1,313.1,1969.0,20.8,59.0,0,0.0,0.0,0.0,0.0,0.0,
M19945,M,304.0,313.0,1377.0,56.0,61.0,0,0.0,0.0,0.0,0.0,0.0,
L52266,L,304.0,313.0,1541.0,45.9,64.0,0,0.0,0.0,0.0,0.0,0.0,
M19947,M,304.0,313.0,1685.0,28.2,66.0,0,0.0,0.0,0.0,0.0,0.0,
